AvgSpotLen	BioSample	Experiment	Instrument	LoadDate	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	biomaterial_provider	cell_line	cell_type	source_name	treated_with	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SRA_Study
152	SAMN03318588	SRX860497	NextSeq 500	2015-02-03	177	82	Mus musculus	SRR1781337	SRS832075	GSM1597717		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317759	SRX860498	NextSeq 500	2015-02-03	143	66	Mus musculus	SRR1781338	SRS832078	GSM1597718		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318279	SRX860499	NextSeq 500	2015-02-03	163	72	Mus musculus	SRR1781339	SRS832076	GSM1597719		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318193	SRX860500	NextSeq 500	2015-02-03	79	30	Mus musculus	SRR1781340	SRS832097	GSM1597720		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318528	SRX860501	NextSeq 500	2015-02-03	179	81	Mus musculus	SRR1781341	SRS832080	GSM1597721		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318401	SRX860502	NextSeq 500	2015-02-03	46	18	Mus musculus	SRR1781342	SRS832077	GSM1597722		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318192	SRX860503	NextSeq 500	2015-02-03	54	24	Mus musculus	SRR1781343	SRS832079	GSM1597723		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318147	SRX860504	NextSeq 500	2015-02-03	187	83	Mus musculus	SRR1781344	SRS832081	GSM1597724		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318127	SRX860505	NextSeq 500	2015-02-03	83	31	Mus musculus	SRR1781345	SRS832083	GSM1597725		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318251	SRX860506	NextSeq 500	2015-02-03	75	28	Mus musculus	SRR1781346	SRS832099	GSM1597726		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318654	SRX860507	NextSeq 500	2015-02-03	76	29	Mus musculus	SRR1781347	SRS832085	GSM1597727		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317893	SRX860508	NextSeq 500	2015-02-03	148	64	Mus musculus	SRR1781348	SRS832084	GSM1597728		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318425	SRX860509	NextSeq 500	2015-02-03	188	86	Mus musculus	SRR1781349	SRS832086	GSM1597729		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317756	SRX860510	NextSeq 500	2015-02-03	94	36	Mus musculus	SRR1781350	SRS832087	GSM1597730		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318475	SRX860511	NextSeq 500	2015-02-03	79	38	Mus musculus	SRR1781351	SRS832088	GSM1597731		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318232	SRX860512	NextSeq 500	2015-02-03	34	16	Mus musculus	SRR1781352	SRS832089	GSM1597732		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318621	SRX860513	NextSeq 500	2015-02-03	116	57	Mus musculus	SRR1781353	SRS832091	GSM1597733		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318566	SRX860514	NextSeq 500	2015-02-03	103	51	Mus musculus	SRR1781354	SRS832090	GSM1597734		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317925	SRX860515	NextSeq 500	2015-02-03	84	40	Mus musculus	SRR1781355	SRS832093	GSM1597735		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318016	SRX860516	NextSeq 500	2015-02-03	93	45	Mus musculus	SRR1781356	SRS832092	GSM1597736		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318412	SRX860517	NextSeq 500	2015-02-03	47	23	Mus musculus	SRR1781357	SRS832094	GSM1597737		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318553	SRX860518	NextSeq 500	2015-02-03	93	45	Mus musculus	SRR1781358	SRS832095	GSM1597738		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317912	SRX860519	NextSeq 500	2015-02-03	37	17	Mus musculus	SRR1781359	SRS832096	GSM1597739		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318698	SRX860520	NextSeq 500	2015-02-03	33	15	Mus musculus	SRR1781360	SRS832098	GSM1597740		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318030	SRX860521	NextSeq 500	2015-02-03	94	46	Mus musculus	SRR1781361	SRS832100	GSM1597741		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318259	SRX860522	NextSeq 500	2015-02-03	41	19	Mus musculus	SRR1781362	SRS832101	GSM1597742		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318136	SRX860523	NextSeq 500	2015-02-03	184	83	Mus musculus	SRR1781363	SRS832102	GSM1597743		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317734	SRX860524	NextSeq 500	2015-02-03	140	62	Mus musculus	SRR1781364	SRS832103	GSM1597744		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318216	SRX860525	NextSeq 500	2015-02-03	134	59	Mus musculus	SRR1781365	SRS832104	GSM1597745		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318332	SRX860526	NextSeq 500	2015-02-03	93	39	Mus musculus	SRR1781366	SRS832105	GSM1597746		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318530	SRX860527	NextSeq 500	2015-02-03	100	48	Mus musculus	SRR1781367	SRS832107	GSM1597747		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317902	SRX860528	NextSeq 500	2015-02-03	77	29	Mus musculus	SRR1781368	SRS832106	GSM1597748		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318015	SRX860529	NextSeq 500	2015-02-03	84	32	Mus musculus	SRR1781369	SRS832108	GSM1597749		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318490	SRX860530	NextSeq 500	2015-02-03	84	32	Mus musculus	SRR1781370	SRS832109	GSM1597750		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318145	SRX860531	NextSeq 500	2015-02-03	97	39	Mus musculus	SRR1781371	SRS832110	GSM1597751		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318285	SRX860532	NextSeq 500	2015-02-03	102	43	Mus musculus	SRR1781372	SRS832111	GSM1597752		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318570	SRX860533	NextSeq 500	2015-02-03	85	35	Mus musculus	SRR1781373	SRS832113	GSM1597753		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318187	SRX860534	NextSeq 500	2015-02-03	88	34	Mus musculus	SRR1781374	SRS832112	GSM1597754		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318604	SRX860535	NextSeq 500	2015-02-03	84	34	Mus musculus	SRR1781375	SRS832114	GSM1597755		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318319	SRX860536	NextSeq 500	2015-02-03	71	29	Mus musculus	SRR1781376	SRS832115	GSM1597756		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318568	SRX860537	NextSeq 500	2015-02-03	179	81	Mus musculus	SRR1781377	SRS832116	GSM1597757		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318191	SRX860538	NextSeq 500	2015-02-03	129	59	Mus musculus	SRR1781378	SRS832117	GSM1597758		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318506	SRX860539	NextSeq 500	2015-02-03	39	17	Mus musculus	SRR1781379	SRS832118	GSM1597759		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318511	SRX860540	NextSeq 500	2015-02-03	66	25	Mus musculus	SRR1781380	SRS832119	GSM1597760		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318092	SRX860541	NextSeq 500	2015-02-03	132	59	Mus musculus	SRR1781381	SRS832122	GSM1597761		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318195	SRX860542	NextSeq 500	2015-02-03	103	46	Mus musculus	SRR1781382	SRS832120	GSM1597762		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318035	SRX860543	NextSeq 500	2015-02-03	3	1	Mus musculus	SRR1781383	SRS832123	GSM1597763		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318286	SRX860544	NextSeq 500	2015-02-03	98	42	Mus musculus	SRR1781384	SRS832121	GSM1597764		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318263	SRX860545	NextSeq 500	2015-02-03	96	43	Mus musculus	SRR1781385	SRS832124	GSM1597765		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318084	SRX860546	NextSeq 500	2015-02-03	183	83	Mus musculus	SRR1781386	SRS832125	GSM1597766		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318382	SRX860547	NextSeq 500	2015-02-03	104	50	Mus musculus	SRR1781387	SRS832126	GSM1597767		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317800	SRX860548	NextSeq 500	2015-02-03	34	16	Mus musculus	SRR1781388	SRS832131	GSM1597768		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317723	SRX860549	NextSeq 500	2015-02-03	172	84	Mus musculus	SRR1781389	SRS832127	GSM1597769		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318453	SRX860550	NextSeq 500	2015-02-03	22	10	Mus musculus	SRR1781390	SRS832129	GSM1597770		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318348	SRX860551	NextSeq 500	2015-02-03	27	13	Mus musculus	SRR1781391	SRS832128	GSM1597771		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318217	SRX860552	NextSeq 500	2015-02-03	61	29	Mus musculus	SRR1781392	SRS832130	GSM1597772		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318556	SRX860553	NextSeq 500	2015-02-03	41	19	Mus musculus	SRR1781393	SRS832133	GSM1597773		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318272	SRX860554	NextSeq 500	2015-02-03	79	38	Mus musculus	SRR1781394	SRS832134	GSM1597774		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318124	SRX860555	NextSeq 500	2015-02-03	44	19	Mus musculus	SRR1781395	SRS832132	GSM1597775		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318622	SRX860556	NextSeq 500	2015-02-03	33	15	Mus musculus	SRR1781396	SRS832135	GSM1597776		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318278	SRX860557	NextSeq 500	2015-02-03	33	16	Mus musculus	SRR1781397	SRS832136	GSM1597777		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317746	SRX860558	NextSeq 500	2015-02-03	39	18	Mus musculus	SRR1781398	SRS832137	GSM1597778		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318344	SRX860559	NextSeq 500	2015-02-03	60	27	Mus musculus	SRR1781399	SRS832138	GSM1597779		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318311	SRX860560	NextSeq 500	2015-02-03	46	21	Mus musculus	SRR1781400	SRS832141	GSM1597780		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03317931	SRX860561	NextSeq 500	2015-02-03	80	38	Mus musculus	SRR1781401	SRS832139	GSM1597781		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318718	SRX860562	NextSeq 500	2015-02-03	109	53	Mus musculus	SRR1781402	SRS832145	GSM1597782		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
152	SAMN03318579	SRX860563	NextSeq 500	2015-02-03	53	21	Mus musculus	SRR1781403	SRS832140	GSM1597783		EML	hematopoietic cells	singles-EML	none (untreated)	OTHER	PRJNA274006	GEO	public	sra	ncbi	0	PAIRED	other	GENOMIC	ILLUMINA	2015-06-17	SRP052977
